"ADDRESS","COL1","COL3","COL4"
"000071096","083113",1,18000
"000071100","083113",1,7000
"000071101","083112",1,40000
"000061082","083112",1,23700
"000061083","083113",1,3000
"000061084","083113",1,16000
"000071102","083112",1,140000
"000061075","083113",1,11000
"000061077","083113",1,38500
"000061086","083112",1,120000
"000061088","083113",1,3000
"000071093","083113",1,20000
"000071095","083112",1,80000
"000071103","083112",1,40000
"000011014","083112",1,90000
"000071109","083112",1,52000
"000061087","083113",1,7000
"000071105","083112",1,119000
"000071110","083112",1,67000
"000091115","083113",1,15000
"000071108","083112",1,2e+05
"000011002","083112",1,79800
"000011003","083113",1,13000
"000011007","083113",1,16000
"000011008","083113",1,6000
"000011006","083113",1,30000
"000011009","083113",1,8000
"000011010","083113",1,8000
"000011027","083112",1,57000
"000011030","083112",1,20000
"000011038","083113",1,4500
"000011036","083113",1,7000
"000011037","083113",1,12000
"000091111","083113",1,7500
"000011001","083112",1,58000
"000011004","083112",1,38000
"000011012","083112",1,70000
"000011039","083113",1,4500
"000031050","083112",1,120000
"000071106","083112",1,58500
"000011028","083112",1,170000
"000011019","083113",1,1000
"000021043","083112",1,50000
"000011035","083112",1,60000
"000021044","083112",1,31800
"000021045","083112",1,22000
"000031046","083112",1,50000
"000031048","083112",1,25000
"000031049","083112",1,32000
"000091112","083113",1,12000
"000091113","083113",1,9000
"000091114","083113",1,28000
"000041065","083112",1,105000
"001092078","083112",1,45000
"001112086","083113",1,10000
"001112092","083112",1,85000
"001132103","083112",1,50000
"001072056","083112",1,25000
"001072063","083112",1,35000
"001112087","083113",1,40000
"001092077","083112",1,150000
"001082069","083112",1,11000
"001092076","083112",1,38000
"001102084","083113",1,27500
"001012002","083112",1,25000
"001112091","083112",1,110000
"001162112","083113",1,980000
"001052030","083112",1,18000
"001132105","083112",1,65000
"001022007","083113",1,6000
"001052027","083112",1,120000
"001052029","083112",1,30000
"001052037","083112",1,22000
"001092074","083113",1,20000
"000011018","083113",1,6500
"000031047","083112",1,45500
"000031055","083113",1,12000
"000041060","083112",1,78500
"000041061","083113",1,7000
"000041062","083112",1,50000
"000051066","083112",1,68000
"000051067","083113",1,16000
"000061074","083113",1,8800
"000061078","083113",1,2200
"000011013","083112",1,40000
"000011013","083113",1,50000
"000011015","083112",1,30000
"000031053","083113",1,15000
"000031054","083113",1,10000
"000041056","083112",1,39400
