"ADDRESS","COL1","COL3","COL4"
"000072110","042111",NA,7e+05
"000062076","042111",NA,130000
"000062076","045111",1,40000
"000012020","042111",NA,140000
"000012020","044111",1,5000
"000012020","045111",1,12000
"000012020","045212",1,18000
"000012020","045311",1,6000
"000072109","042111",NA,750000
"000072109","044111",1,30000
"000072109","045111",1,60000
"000062076","045212",1,15000
"000072108","045112",1,30000
"000072108","045211",1,20000
"000072093","041111",1,1e+05
"000072093","044111",1,30000
"000072093","045111",1,23000
"000072093","045212",1,12000
"000072094","042111",NA,250000
"000072094","044111",1,15000
"000072094","045111",1,12500
"000072094","045211",1,150000
"000072095","042111",NA,450000
"000072095","044111",1,9000
"000072095","045111",1,15000
"000072095","045211",1,40000
"000032047","042111",NA,120000
"000032047","044111",1,6000
"000042061","042111",NA,150000
"000062078","042214",8,1e+05
"000062078","044111",1,63500
"000062078","045111",1,37300
"000072110","044111",1,18000
"000032047","045111",1,19500
"000032047","045212",1,12000
"000032049","042111",NA,180000
"000032049","044111",1,40000
"000062077","042111",NA,6e+05
"000062077","045111",1,80000
"000032049","045111",1,140000
"000032049","045212",1,56000
"000042062","042111",NA,220000
"000042062","044111",1,125000
"000042062","045111",1,80000
"000042062","045212",1,28000
"000042062","045311",1,1e+05
"000042063","042111",NA,110000
"000042063","044111",1,140000
"000042063","045212",1,22000
"000042065","042111",NA,80000
"000042065","044111",1,25000
"000042065","045111",1,38000
"000032048","042111",NA,150000
"000032048","044111",1,35000
"000032048","045111",1,32000
"000042061","044111",1,10000
"000042061","045111",1,15000
"000032050","042111",NA,70000
"000032050","045111",1,4800
"000032050","045311",1,2500
"000012017","042111",NA,120000
"000012018","042111",NA,70000
"000012031","042111",NA,150000
"000012002","042111",NA,110000
"000012002","045111",1,172000
"000012002","045212",1,12000
"000012005","042111",NA,150000
"000012005","045111",1,20000
"000012005","045212",1,18000
"000012016","042111",NA,90000
"000042065","045212",1,22500
"000012003","042111",NA,2e+05
"000012003","045111",1,38000
"000012003","045212",1,25000
"000012004","042111",NA,2e+05
"000012004","045112",1,38000
"000042065","045311",1,50000
"000042064","042214",8,150000
"000042064","045111",1,23000
"000042064","045212",1,18000
"000062079","042111",NA,120000
"000072092","042111",NA,180000
"000072092","044111",1,9400
"000072092","045111",1,13700
"000072092","045211",1,87000
"000012034","045212",1,18000
"000012001","042111",NA,120000
"000012001","045212",1,24000
"000062077","045212",1,24500
"000062079","044111",1,33000
"000062079","045111",1,45000
"000062079","045212",1,10000
"000012023","042214",8,2e+05
"000012023","045111",1,42000
"000012023","045212",1,26500
"000072096","042111",NA,110000
"000072096","045111",1,36500
"000012010","042111",NA,230000
"000012010","044111",1,17000
"000012010","045111",1,148000
"000012010","045212",1,26000
"000072096","045212",1,16000
"000012007","042214",8,150000
"000012008","042111",NA,3e+05
"000012008","045111",1,35000
"000012008","045212",1,33000
"000012009","042111",NA,250000
"000012009","044111",1,30000
"000012009","045111",1,48000
"000012021","042111",NA,140000
"000012021","044111",1,1000
"000012021","045111",1,45000
"000042051","042111",NA,280000
"000042051","045111",1,28000
"000042051","045211",1,330000
"000042052","042111",NA,230000
"000042052","044111",1,8000
"000042052","045111",1,57000
"000042052","045211",1,70000
"000042053","042111",NA,130000
"000042053","045111",1,21000
"000012022","042111",NA,220000
"000012022","044111",1,1000
"000012022","045111",1,4e+05
"000012022","045212",1,140000
"000072097","042111",NA,80000
"000072097","045212",1,8000
"000062082","042111",NA,110000
"000062082","045111",1,18900
"000062081","042111",NA,70000
"000062081","045111",1,9800
"000062082","045212",1,16000
"000062083","042111",NA,60000
"000062083","045111",1,6500
"000062083","045212",1,3000
"000062084","042111",NA,2e+05
"000062084","045111",1,20000
"000062084","045212",1,12000
"000062084","045311",1,50000
"000072098","042111",NA,85000
"000072098","045111",1,113000
"000072098","045212",1,16000
"000072098","045311",1,33400
"000012036","042111",NA,80000
"000012036","045111",1,17000
"000062067","042111",NA,80000
"000062067","044111",1,12500
"000062067","045111",1,8500
"000062067","045212",1,18000
"000062066","042111",NA,120000
"000062066","044111",1,30000
"000062066","045111",1,150000
"000062066","045212",1,18000
"000072097","045311",1,6000
"000062068","042111",NA,120000
"000062068","044111",1,8500
"000062068","045111",1,7800
"000062068","045212",1,6500
"000062070","042111",NA,110000
"000062070","044111",1,11000
"000062070","045111",1,13000
"000062070","045212",1,27000
"000062069","042111",NA,70000
"000062069","044111",1,8000
"000062069","045111",1,12000
"000012036","045212",1,8000
"000012037","042111",NA,1e+05
"000012037","044111",1,7500
"000012037","045111",1,12000
"000012037","045212",1,3000
"000012038","042111",NA,150000
"000012038","044111",1,15000
"000012038","045111",1,20000
"000012038","045212",1,18000
"000012040","042111",NA,80000
"000012040","044111",1,8000
"000012040","045111",1,15000
"000012040","045212",1,11000
"000062069","045212",1,13000
"000072099","042111",NA,150000
"000072099","045111",1,50000
"000062081","045212",1,3000
"000072099","045212",1,32000
"000072100","042111",NA,180000
"000072100","045111",1,77000
"000072100","045212",1,15000
"000062085","042111",NA,220000
"000062085","045111",1,28000
"000062085","045212",1,23000
"000072100","045311",1,190000
"000042054","042111",NA,1e+05
"000042054","045111",1,15000
"000042055","042214",8,150000
"000042055","045212",1,7500
"000012024","042111",NA,130000
"000012024","044111",1,1000
"000012024","045111",1,4900
"000012024","045212",1,6600
"000012039","042111",NA,150000
"000012039","044111",1,25000
"000012039","045111",1,45000
"000012025","042111",NA,220000
"000012025","045111",1,16000
"000012025","045212",1,18000
"000012009","045212",1,18000
"000072087","042111",NA,210000
"000072087","044111",1,18900
"000072087","045111",1,22500
"000072089","042111",NA,2e+05
"000072089","045111",1,37000
"000072089","045211",1,48000
"000042056","042111",NA,320000
"000042056","044111",1,28000
"000012026","042111",NA,450000
"000012013","042111",NA,60000
"000012013","045311",1,10000
"000072086","042111",NA,160000
"000072086","044111",1,60000
"000072086","045111",1,50000
"000012015","042214",8,70000
"000012015","044111",1,4300
"000012015","045111",1,23000
"000012026","044111",1,12000
"000012026","045111",1,38000
"000012027","042111",NA,550000
"000072087","045211",1,57000
"000072088","042111",NA,140000
"000072088","044111",1,32000
"000072088","045111",1,70000
"000072090","042111",NA,150000
"000072090","044111",1,23000
"000072090","045111",1,25000
"000072090","045211",1,80000
"000012027","044111",1,20000
"000012027","045111",1,26000
"000012028","042111",NA,420000
"000012028","045111",1,140000
"000042056","045111",1,26000
"000042056","045211",1,57000
"000042057","042111",NA,330000
"000012011","042111",NA,150000
"000012011","044111",1,7500
"000012011","045111",1,11000
"000012011","045212",1,14000
"000042057","044111",1,16000
"000042057","045111",1,14000
"000042057","045211",1,35000
"000042058","042111",NA,650000
"000042058","044111",1,97000
"000042058","045111",1,78000
"000042058","045211",1,150000
"000042059","041111",1,2e+05
"000042059","042212",1,450000
"000042059","044111",1,18000
"000042059","045111",1,26000
"000042060","041111",1,420000
"000042060","044111",1,21800
"000022042","042111",NA,170000
"000022042","044111",1,28500
"000022042","045212",1,29000
"000022043","042111",NA,130000
"000022043","044111",1,8500
"000072101","042111",NA,80000
"000022044","042111",NA,140000
"000012014","042111",NA,70000
"000012014","044111",1,8000
"000012014","045111",1,6500
"000022044","044111",1,15400
"000022044","045111",1,15000
"000022044","045212",1,23000
"000012029","042111",NA,350000
"000012029","044111",1,15000
"000012030","042111",NA,320000
"000012030","044111",1,35000
"000022041","042111",NA,150000
"000022041","044111",1,26000
"000022041","045212",1,12000
"000072101","044111",1,11000
"000072101","045111",1,8500
"000072101","045212",1,7000
"000072102","042111",NA,110000
"000072102","044111",1,29000
"000072102","045111",1,49500
"000072102","045212",1,28000
"000072102","045311",1,26720
"000072101","045311",1,13500
"000072105","042111",NA,120000
"000072105","044111",1,13000
"000072105","045111",1,13800
"000062071","042111",NA,1e+05
"000072105","045212",1,28000
"000022043","045212",1,5800
"000022045","042111",NA,1e+05
"000022045","044111",1,8200
"000012012","042111",NA,2e+05
"000012012","044111",1,14000
"000012012","045111",1,68000
"000012012","045212",1,21000
"000012004","045212",1,12000
"000012006","042111",NA,240000
"000012006","044111",1,125000
"000012006","045212",1,24000
"000012007","045212",1,14500
"000012011","045311",1,1e+05
"000012021","045212",1,19800
"000042059","045211",1,45000
"000062078","045213",1,24000
"000072088","045211",1,34000
"000012021","045311",1,17000
"000032048","045212",1,35000
"000012039","045212",1,15000
"000012014","045311",1,3700
"000062080","041111",1,50000
"000062080","045111",1,10000
"000062080","045212",1,14500
"000072091","045111",1,12000
"000072103","042111",NA,120000
"000072103","044111",1,6000
"000072103","045111",1,19000
"000072103","045212",1,8800
"000072103","045311",1,24000
"000072104","042111",NA,120000
"000072104","044111",1,15000
"000072104","045212",1,15000
"000072104","045311",1,50000
"000072107","045211",1,45000
"000062073","042111",NA,30000
"000062075","042111",NA,120000
"000062075","045212",1,38000
"000072086","045211",1,135000
"000072110","045111",1,30000
"000072110","045211",1,150000
"000072106","045211",1,28000
"000072109","045211",1,38000
"000062073","045212",1,16000
"000062075","045311",1,140000
"000062071","045212",1,38000
"000062074","042111",NA,120000
"000062074","045212",1,75000
"000062072","042111",NA,30000
"000062072","045212",1,24000
"000073093","042111",NA,150000
"000073093","044111",1,18000
"000073093","045212",1,34000
"000073093","045311",1,2e+05
"000073094","042111",NA,2e+05
"000073094","044111",1,20000
"000073094","045111",1,31500
"000073094","045212",1,24000
"000073094","045311",1,5e+05
"000013034","041111",1,1e+05
"000013034","045212",1,14000
"000013034","045311",1,60000
"000013032","042111",NA,120000
"000073095","042111",NA,120000
"000073095","045212",1,12500
"000073095","045311",1,40000
"000013032","044111",1,15000
"000013032","045212",1,24000
"000013032","045312",1,5e+05
"000013033","042111",NA,140000
